id,rooms,address,price,lat,lon,canton
207,N/A,"Zürich, Gerechtigkeitsgasse 8",4775,47.3698520,8.5319848,zurich
208,3.5,"Zürich, Kasernenstrasse 77 A",3555,47.3762505,8.5339412,zurich
209,6.5,"8304 Wallisellen, Contact agency for the address",4800,47.4145265,8.5899393,zurich
210,3.5,"Zürich, Segnesstrasse 10 (Haus E)",2960,47.3884159,8.4853066,zurich
211,2.5,"Glattpark (Opfikon), Farmanstr. 59",2150,47.4223733,8.5644766,zurich
212,3,"Zürich, Holbeinstr. 35",3300,47.3645367,8.5501499,zurich
213,2.5,"Zürich, Bühlwiesenstrasse 15",3795,47.4163943,8.5480838,zurich
214,2,"Thalwil, Parkweg 2",2900,47.2963089,8.5666652,zurich
215,3.5,"Wetzikon ZH, Bahnhofstrasse 150",2850,47.3264896,8.7991518,zurich
216,N/A,"Zürich, Binzmühlestr. 48",4775,47.4140456,8.5450737,zurich
217,N/A,"Zürich, Waffenplatzstrasse 72",3328,47.3569010,8.5267901,zurich
218,4.5,"Meilen, Feldgüetliweg 136",3754,47.2738060,8.6279810,zurich
219,1,"Pfäffikon ZH, Pilatusstrasse 22",2265,47.3639735,8.7835696,zurich
220,3,"Benglen, Bodenacherstrasse 8",1600,47.3620066,8.6350078,zurich
221,1.5,"Zürich, Schärenmoosstr. 80",2320,47.4232672,8.5422394,zurich
222,5.5,"Dübendorf, Am Giessenpark 15",2710,47.4012808,8.6123362,zurich
223,2.5,"Zürich, Engweg 1",2600,47.3851124,8.5383510,zurich
224,4.5,"Pfaffhausen, Twäracherstrasse 3",1930,47.3618290,8.6244225,zurich
225,4.5,"Dielsdorf, Sandbuckweg 1",1962,47.4774002,8.4568192,zurich
226,3,"Oberrieden, Einsiedlerstrasse 4",1770,47.2780977,8.5742092,zurich
227,2.5,"Glattpark (Opfikon), Farman Str. 38",1800,47.4229934,8.5621240,zurich
228,1,"Zürich, Grubenackerstrasse 71",1680,47.4189435,8.5528365,zurich
