id,rooms,address,price,lat,lon,canton
"113,3.5,""Tramelan, Rue de la Gare 28"",2290,47.2232133,7.1046323,berne"
"114,3.5,""Lyssach, Dorfstrasse 3"",1470,47.0697258,7.5768811,berne"
"115,2.5,""3082 Schlosswil, Contact agency for the address"",1190,46.9077741,7.6068543,berne"
"116,3.5,""St-Imier, Rue Baptiste-Savoye 58"",1050,47.1512684,6.9945856,berne"
"117,4.5,""3036 Detligen, Contact agency for the address"",1900,47.0009535,7.2629678,berne"
"118,5.5,""Schüpfen, Richtersmattweg 15"",2690,47.0436322,7.3795130,berne"
"119,3.5,""Urtenen-Schönbühl, Etzmattrain 27"",1640,47.0256257,7.5040524,berne"
"120,3.5,""Bützberg, Buchiackerweg 10"",1120,47.2140916,7.7459297,berne"
"121,3,""Biel-Bienne, Chemin de la Chênaie 61"",960,47.1539797,7.2656745,berne"
"122,6.5,""4952 Eriswil, Contact agency for the address"",1730,47.0804862,7.8563165,berne"
"123,3.5,""Biel-Bienne, Bürenstr. 45"",1580,47.1544906,7.2779198,berne"
"124,3.5,""Kirchberg BE, Bütikofenstrasse 24b"",1400,47.0846977,7.5924111,berne"
"125,N/A,""Liebefeld, Kirchstrasse 2-8 / 24-26"",2274,46.9301926,7.4277918,berne"
"126,N/A,""3777 Saanenmöser, Contact agency for the address"",N/A,46.5158001,7.3055703,berne"
"127,2,""3780 Gstaad, Contact agency for the address"",N/A,46.4727947,7.2826860,berne"
"128,3.5,""Ostermundigen, Nobsstrasse 5"",1350,46.9590655,7.4931682,berne"
"129,2.5,""3005 Bern, Contact agency for the address"",1710,46.9420691,7.4467410,berne"
"130,3.5,""Langenthal, Thunstettenstrasse 48"",920,47.2053027,7.7783614,berne"
"131,2.5,""Bern, Wangenstrasse 43a"",1490,46.9364462,7.3910009,berne"
"132,3.5,""Moutier, Chadefontaine 1"",895,47.2735534,7.3595038,berne"
"133,4.5,""2563 Ipsach, Contact agency for the address"",1396,47.1143589,7.2323502,berne"
"134,4.5,""Zollikofen, Kirchlindachstrasse D/E"",2390,47.0010491,7.4559289,berne"
"135,4.5,""St-Imier, Rue Baptiste-Savoye 44"",990,47.1507412,6.9935817,berne"
"136,4,""Herzogenbuchsee, Bodackerweg 14"",1290,47.1954310,7.7018207,berne"
